Unnamed: 0,Name,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA
619,Travellers' Corner Cafe,Oslo,,620.0,5.0,,2.0,"[[""Nice place for travllers' gathering""], ['05/26/2016']]",/Restaurant_Review-g190479-d10319841-Reviews-Travellers_Corner_Cafe-Oslo_Eastern_Norway.html,d10319841
625,Villa Marta,Rome,['Italian'],626.0,4.5,,216.0,"[[], []]",/Restaurant_Review-g187791-d4090090-Reviews-Villa_Marta-Rome_Lazio.html,d4090090
1439,The Swan,London,"['Bar', 'British', 'Pub', 'Vegetarian Friendly']",1441.0,4.0,$$ - $$$,545.0,"[['Impromptu lunch', 'tasty lunch'], ['12/16/2017', '12/06/2017']]",/Restaurant_Review-g186338-d1955688-Reviews-The_Swan-London_England.html,d1955688
836,New Taste Restaurant,Athens,['Mediterranean'],838.0,4.0,$$ - $$$,94.0,"[['Great location', 'Breakfast Each Morning'], ['08/02/2017', '08/01/2017']]",/Restaurant_Review-g189400-d2590013-Reviews-New_Taste_Restaurant-Athens_Attica.html,d2590013
6951,Nante,Berlin,['German'],,,$,,,/Restaurant_Review-g187323-d12374885-Reviews-Nante-Berlin.html,d12374885
6171,The Camden Head,London,"['Bar', 'British', 'Pub']",6180.0,3.5,$$ - $$$,83.0,"[['This is a really good pub', 'fabulous find!'], ['01/05/2018', '12/26/2017']]",/Restaurant_Review-g186338-d3574189-Reviews-The_Camden_Head-London_England.html,d3574189
1568,Great Queen Street,London,"['British', 'Gastropub', 'Vegetarian Friendly', 'Gluten Free Options']",1570.0,4.0,$$ - $$$,474.0,"[['Lovely vibe good food!', 'Brilliant dinner with friends'], ['11/27/2017', '10/27/2017']]",/Restaurant_Review-g186338-d1469156-Reviews-Great_Queen_Street-London_England.html,d1469156
3312,Mag by El Magnifico,Barcelona,,3313.0,4.5,,8.0,"[['Very good coffee, good location', 'Designed to perfection'], ['10/19/2017', '05/07/2017']]",/Restaurant_Review-g187497-d12292191-Reviews-Mag_by_El_Magnifico-Barcelona_Catalonia.html,d12292191
11146,Charlie Chapatti,London,"['Indian', 'Asian', 'Halal']",11156.0,4.0,$$ - $$$,14.0,"[['Friendly, helpful staff, - delicious food.', 'NEVER AGAIN!'], ['04/26/2017', '04/26/2017']]",/Restaurant_Review-g186338-d10454394-Reviews-Charlie_Chapatti-London_England.html,d10454394
3816,Le Bar a Huitres Place des Vosges,Paris,"['French', 'Seafood']",3817.0,3.5,$$$$,788.0,"[['Plenty of show - food was ok - Not value f...', 'Seafood extravaganza'], ['12/27/2017', '05/05/2017']]",/Restaurant_Review-g187147-d718797-Reviews-Le_Bar_a_Huitres_Place_des_Vosges-Paris_Ile_de_France.html,d718797
3521,Fundacio Joan Miro Bar-Restaurant,Barcelona,"['Mediterranean', 'Fusion']",3522.0,4.0,$$ - $$$,92.0,"[['Great stop during visit to Fundacio Joan M...', 'Poor choice, expensive'], ['08/07/2017', '02/14/2017']]",/Restaurant_Review-g187497-d986383-Reviews-Fundacio_Joan_Miro_Bar_Restaurant-Barcelona_Catalonia.html,d986383
12952,Leon - Southwark Street,London,,12962.0,3.5,,8.0,"[['Nice Place', 'Good Chicken Pesto salad!'], ['08/26/2017', '07/04/2017']]",/Restaurant_Review-g186338-d12406066-Reviews-Leon_Southwark_Street-London_England.html,d12406066
167,Creperie Restaurant Praline Et Fleur De Sel,Lyon,"['French', 'Vegetarian Friendly']",168.0,4.5,$$ - $$$,151.0,"[['Real and savoury Crêpes Bretonne in Lyon', 'La Chandeleur - bof'], ['06/14/2015', '02/11/2015']]",/Restaurant_Review-g187265-d5800016-Reviews-Creperie_Restaurant_Praline_Et_Fleur_De_Sel-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d5800016
12587,La Petite Poule,London,['French'],12597.0,4.0,$$ - $$$,2.0,"[['Small, French and good', 'Good food'], ['03/12/2017', '06/20/2016']]",/Restaurant_Review-g186338-d10333393-Reviews-La_Petite_Poule-London_England.html,d10333393
1064,Cafe Bohemia,Copenhagen,"['European', 'Eastern European', 'Hungarian']",1066.0,4.0,$$ - $$$,25.0,"[['A memorable experience', 'Cosy old-fashioned place with good food'], ['09/05/2017', '12/04/2016']]",/Restaurant_Review-g189541-d1104535-Reviews-Cafe_Bohemia-Copenhagen_Zealand.html,d1104535
1536,Corallo Lobster Bar,Milan,"['Italian', 'Seafood', 'Mediterranean', 'European']",1538.0,3.5,$$ - $$$,194.0,"[['Good Tuesday Dinner', 'Nice'], ['11/23/2017', '06/02/2017']]",/Restaurant_Review-g187849-d7787476-Reviews-Corallo_Lobster_Bar-Milan_Lombardy.html,d7787476
8005,Restaurant Milan,Paris,,8006.0,5.0,,2.0,"[['The small""restaurant spectacular'], ['04/17/2013']]",/Restaurant_Review-g187147-d1333249-Reviews-Restaurant_Milan-Paris_Ile_de_France.html,d1333249
3310,Cropbox,Amsterdam,"['Healthy', 'Vegan Options', 'Gluten Free Options']",,,$$ - $$$,,,/Restaurant_Review-g188590-d10726803-Reviews-Cropbox-Amsterdam_North_Holland_Province.html,d10726803
9521,Hao Zai Lai,Madrid,['Chinese'],,,,,,/Restaurant_Review-g187514-d13306501-Reviews-Hao_Zai_Lai-Madrid.html,d13306501
7034,A la Table de Nouk,Paris,['Thai'],7035.0,4.0,$$ - $$$,42.0,"[['Nothing special and expensive', 'Meal right out of a coconut shell.'], ['03/23/2016', '09/28/2015']]",/Restaurant_Review-g187147-d6428022-Reviews-A_la_Table_de_Nouk-Paris_Ile_de_France.html,d6428022
362,Cafe Oasis,Dublin,"['Lebanese', 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal']",363.0,4.5,$,126.0,"[['Fantastic Food', 'Groupon €30 meal Deal'], ['01/10/2018', '01/07/2018']]",/Restaurant_Review-g186605-d4736446-Reviews-Cafe_Oasis-Dublin_County_Dublin.html,d4736446
4667,I Siciliani,Rome,,4668.0,4.0,,15.0,"[[], []]",/Restaurant_Review-g187791-d12709331-Reviews-I_Siciliani-Rome_Lazio.html,d12709331
7562,Le Dax,Paris,,7563.0,4.0,,55.0,"[[], []]",/Restaurant_Review-g187147-d5981602-Reviews-Le_Dax-Paris_Ile_de_France.html,d5981602
3826,Puladinho Sabores Do Brasil,Lisbon,,,,,,,/Restaurant_Review-g189158-d5981374-Reviews-Puladinho_Sabores_Do_Brasil-Lisbon_Lisbon_District_Central_Portugal.html,d5981374
678,Bonnie Burrito,Edinburgh,"['Mexican', 'Fast Food', 'British', 'Scottish', 'South American', 'Central American', 'Vegetarian Friendly', 'Vegan Options']",679.0,4.5,$,20.0,"[['Nice, quick lunch', 'Great for a decent quick lunch'], ['12/26/2017', '10/17/2017']]",/Restaurant_Review-g186525-d11639433-Reviews-Bonnie_Burrito-Edinburgh_Scotland.html,d11639433
677,Simela Finest Food,Berlin,"['Mediterranean', 'Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Gluten Free Options']",678.0,4.5,$,30.0,"[['Nice!', 'An affordable option to bring celiac frien...'], ['11/20/2017', '07/30/2017']]",/Restaurant_Review-g187323-d10052217-Reviews-Simela_Finest_Food-Berlin.html,d10052217
2328,Jajko Bistro&Cafe,Warsaw,"['Polish', 'European']",,,,,,/Restaurant_Review-g274856-d13219640-Reviews-Jajko_Bistro_Cafe-Warsaw_Mazovia_Province_Central_Poland.html,d13219640
1151,Metropolitain,Paris,"['French', 'European']",1152.0,4.5,$$ - $$$,385.0,"[['Neighborhood Nook', 'Lovely Parisian restaurant'], ['11/27/2017', '08/29/2017']]",/Restaurant_Review-g187147-d2221999-Reviews-Metropolitain-Paris_Ile_de_France.html,d2221999
11864,my cedre,Paris,"['Lebanese', 'Mediterranean']",11866.0,4.0,,6.0,"[['A pleasant meal and experience.'], ['04/20/2015']]",/Restaurant_Review-g187147-d6578763-Reviews-My_cedre-Paris_Ile_de_France.html,d6578763
8144,Flank,London,,8153.0,5.0,,2.0,"[['Outsanding! Lives up to the rave foodie re...', 'Fantastic Birthday Lunch'], ['01/02/2018', '12/20/2017']]",/Restaurant_Review-g186338-d13302821-Reviews-Flank-London_England.html,d13302821
5967,The Old Dairy,London,"['Bar', 'British', 'Pub', 'Vegetarian Friendly']",5976.0,3.5,$$ - $$$,184.0,"[['Supr Sunday Lunch', 'Sunday lunch'], ['10/16/2017', '09/29/2017']]",/Restaurant_Review-g186338-d805121-Reviews-The_Old_Dairy-London_England.html,d805121
1399,Le Dodo Bistro,Madrid,"['Asian', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly']",1401.0,4.0,$$ - $$$,118.0,"[['A well cooked meal', 'Good dinner in Madrid'], ['06/28/2017', '02/03/2017']]",/Restaurant_Review-g187514-d10347271-Reviews-Le_Dodo_Bistro-Madrid.html,d10347271
1578,AU DON JOSE,Lyon,,1579.0,4.0,,17.0,"[['Excellent food and staff'], ['06/18/2016']]",/Restaurant_Review-g659588-d5800050-Reviews-AU_DON_JOSE-Chassieu_Lyon_Rhone_Auvergne_Rhone_Alpes.html,d5800050
1948,L'Orquidia cafeteria - restaurant,Barcelona,"['Spanish', 'Mediterranean', 'Vegetarian Friendly']",1949.0,4.5,$,31.0,"[['Great, tasty and cheap place to eat.', 'Our trip to Barcelona'], ['10/11/2017', '11/10/2016']]",/Restaurant_Review-g187497-d8784819-Reviews-L_Orquidia_cafeteria_restaurant-Barcelona_Catalonia.html,d8784819
802,Bodean's BBQ - Soho,London,"['American', 'Barbecue', 'Gluten Free Options']",803.0,4.0,$$ - $$$,1843.0,"[['Good value', 'Nice BBQ place'], ['12/29/2017', '12/27/2017']]",/Restaurant_Review-g186338-d717832-Reviews-Bodean_s_BBQ_Soho-London_England.html,d717832
7590,Ca la Julia,Barcelona,,7591.0,2.0,,,"[[], []]",/Restaurant_Review-g187497-d12607814-Reviews-Ca_la_Julia-Barcelona_Catalonia.html,d12607814
3415,La Carezza - Zlute lazne,Prague,"['Italian', 'Pizza', 'European', 'Central European']",3422.0,4.0,$$ - $$$,60.0,"[['Terrible experience 2x', 'Great place to unwind with a meal'], ['08/23/2016', '07/14/2016']]",/Restaurant_Review-g274707-d6612113-Reviews-La_Carezza_Zlute_lazne-Prague_Bohemia.html,d6612113
7190,Chez Jeannette,Paris,"['French', 'Bar', 'European']",7191.0,3.5,$$ - $$$,86.0,"[['simple but nice', ""One of my first visits every time I'm in P...""], ['02/01/2017', '10/30/2017']]",/Restaurant_Review-g187147-d782426-Reviews-Chez_Jeannette-Paris_Ile_de_France.html,d782426
2057,Enzo's Tolv,Stockholm,,2060.0,3.0,,8.0,"[['A far cry from Italy', 'Terrible!'], ['03/10/2016', '10/08/2014']]",/Restaurant_Review-g189852-d5953135-Reviews-Enzo_s_Tolv-Stockholm.html,d5953135
760,VilAroma Pizzaria,Oporto,"['Italian', 'Pizza']",761.0,4.5,$,20.0,"[['Aga Krupa'], ['01/13/2016']]",/Restaurant_Review-g189180-d9704840-Reviews-VilAroma_Pizzaria-Porto_Porto_District_Northern_Portugal.html,d9704840
1409,Manty,Warsaw,['Asian'],1411.0,4.5,,4.0,"[['Limited menu but it is tasty'], ['10/19/2015']]",/Restaurant_Review-g274856-d8368349-Reviews-Manty-Warsaw_Mazovia_Province_Central_Poland.html,d8368349
2936,Gusto Italia,Paris,"['Italian', 'European', 'Mediterranean']",2937.0,4.5,$$ - $$$,53.0,"[['Very nice, small italian restaurant with e...', 'Great pizza in nice area of Paris'], ['10/05/2017', '06/30/2017']]",/Restaurant_Review-g187147-d8510311-Reviews-Gusto_Italia-Paris_Ile_de_France.html,d8510311
1479,Ardevol,Barcelona,"['Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options']",1480.0,4.0,$$ - $$$,102.0,"[[""Best Paella We've Eaten"", 'Nice setting for a drink'], ['09/26/2017', '07/11/2017']]",/Restaurant_Review-g187497-d4747444-Reviews-Ardevol-Barcelona_Catalonia.html,d4747444
2235,China Express,Brussels,['Chinese'],2201.0,4.0,$$ - $$$,,"[[], []]",/Restaurant_Review-g188644-d12115875-Reviews-China_Express-Brussels.html,d12115875
1642,Roger la Grenouille,Paris,"['French', 'European']",1643.0,4.0,$$ - $$$,520.0,"[['Good food, good environment and a memorabl...', 'Fabulous frog legs'], ['11/12/2017', '09/20/2017']]",/Restaurant_Review-g187147-d781966-Reviews-Roger_la_Grenouille-Paris_Ile_de_France.html,d781966
1417,Marisqueria Salamar,Madrid,"['Seafood', 'Mediterranean', 'European', 'Spanish']",1419.0,4.0,$$ - $$$,105.0,"[['Wonderful marisco and staff', 'Simply Great!!!, a model to export, a mode...'], ['03/24/2017', '12/24/2017']]",/Restaurant_Review-g187514-d990765-Reviews-Marisqueria_Salamar-Madrid.html,d990765
2182,INVESTITTO-RELAX Marian Hotewicz,Warsaw,"['Polish', 'European', 'Eastern European']",,,,,,/Restaurant_Review-g274856-d4128607-Reviews-INVESTITTO_RELAX_Marian_Hotewicz-Warsaw_Mazovia_Province_Central_Poland.html,d4128607
362,Kardoso,Oporto,"['European', 'Portuguese']",363.0,4.5,$$ - $$$,153.0,"[['Good francesinha', 'Great Naco!'], ['10/05/2016', '08/10/2016']]",/Restaurant_Review-g189180-d3452873-Reviews-Kardoso-Porto_Porto_District_Northern_Portugal.html,d3452873
1827,Grand Garbo,Stockholm,,1830.0,4.0,,10.0,"[['Really nice outdoor eating but a bit expen...'], ['07/19/2015']]",/Restaurant_Review-g189852-d5944287-Reviews-Grand_Garbo-Stockholm.html,d5944287
4549,Der Balken,Berlin,,4551.0,4.0,,2.0,"[[], []]",/Restaurant_Review-g187323-d12333900-Reviews-Der_Balken-Berlin.html,d12333900
211,Restaurant Pilekaelderen,Copenhagen,"['European', 'Scandinavian', 'Danish', 'Vegetarian Friendly']",212.0,4.0,$$ - $$$,110.0,"[['Excellent', 'Smörrebröd cannot be better'], ['01/03/2018', '12/22/2017']]",/Restaurant_Review-g189541-d3559540-Reviews-Restaurant_Pilekaelderen-Copenhagen_Zealand.html,d3559540
3762,Open House Opa Maria,Lisbon,"['European', 'Portuguese']",,,$$ - $$$,,,/Restaurant_Review-g189158-d11824287-Reviews-Open_House_Opa_Maria-Lisbon_Lisbon_District_Central_Portugal.html,d11824287
2624,La Grange de Saint Jean,Lyon,['French'],2625.0,2.0,$$ - $$$,540.0,"[['Good food, good wine', 'Actually OK'], ['10/01/2017', '09/08/2017']]",/Restaurant_Review-g187265-d2276623-Reviews-La_Grange_de_Saint_Jean-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d2276623
1139,Rautatieaseman Hesburger,Helsinki,,1140.0,1.0,,,"[[], []]",/Restaurant_Review-g189934-d13292594-Reviews-Rautatieaseman_Hesburger-Helsinki_Uusimaa.html,d13292594
9942,Mama Lova,Paris,"['French', 'Brew Pub', 'Pub', 'Wine Bar', 'Vegetarian Friendly']",9944.0,3.5,$$ - $$$,77.0,"[['Superb tapas bar', 'Holidays in back'], ['08/08/2016', '01/24/2016']]",/Restaurant_Review-g187147-d8029814-Reviews-Mama_Lova-Paris_Ile_de_France.html,d8029814
2986,J.A.S. Cafe Und Restauration,Berlin,,2988.0,4.5,,7.0,"[[""Why haven't you tried this?"", 'Relaxing after business hours'], ['10/18/2016', '12/17/2014']]",/Restaurant_Review-g187323-d7352982-Reviews-J_A_S_Cafe_Und_Restauration-Berlin.html,d7352982
3174,Nudelhaus,Vienna,['Asian'],3176.0,3.0,,2.0,"[[], []]",/Restaurant_Review-g190454-d3446807-Reviews-Nudelhaus-Vienna.html,d3446807
960,XV Burger,Paris,['Vegetarian Friendly'],961.0,5.0,$,52.0,"[['Amazing food and lovely staff !', 'Excellent burger. Highly recommended'], ['12/30/2017', '12/26/2017']]",/Restaurant_Review-g187147-d11691269-Reviews-XV_Burger-Paris_Ile_de_France.html,d11691269
149,Vinyasa,Edinburgh,"['Indian', 'Asian', 'Balti', 'Bangladeshi', 'Vegetarian Friendly', 'Vegan Options', 'Halal', 'Gluten Free Options']",150.0,4.5,$$ - $$$,733.0,"[['Fantastic service & food', 'Still the best curry I have ever had.'], ['01/08/2018', '01/07/2018']]",/Restaurant_Review-g186525-d3800355-Reviews-Vinyasa-Edinburgh_Scotland.html,d3800355
1065,Hooked,Copenhagen,"['Seafood', 'Fast Food', 'Contemporary', 'American', 'British']",1067.0,4.0,$$ - $$$,6.0,"[['Love this place', 'Great fish take-away'], ['12/02/2017', '09/26/2017']]",/Restaurant_Review-g189541-d12705240-Reviews-Hooked-Copenhagen_Zealand.html,d12705240
662,Tapas Huset,Copenhagen,"['European', 'Spanish', 'Mediterranean']",663.0,3.5,$$ - $$$,238.0,"[['Great Tapas', 'Just ""Okay"" Tapas'], ['12/09/2017', '09/13/2017']]",/Restaurant_Review-g189541-d7892477-Reviews-Tapas_Huset-Copenhagen_Zealand.html,d7892477
3423,Cutxi,Madrid,,3425.0,4.0,,18.0,"[['Ok value for a quickie'], ['11/18/2016']]",/Restaurant_Review-g187514-d8487804-Reviews-Cutxi-Madrid.html,d8487804
1726,Green & Bean Cafe and Bar,Dublin,"['Contemporary', 'Healthy']",1730.0,3.5,$$ - $$$,11.0,"[['Food is fine but music very loud', 'Great Coffee'], ['01/05/2018', '06/02/2017']]",/Restaurant_Review-g186605-d12291291-Reviews-Green_Bean_Cafe_and_Bar-Dublin_County_Dublin.html,d12291291
14392,Fresh Fish Bar,London,['Seafood'],14403.0,3.0,,2.0,"[[], []]",/Restaurant_Review-g186338-d5122698-Reviews-Fresh_Fish_Bar-London_England.html,d5122698
13419,O'Conway's,Paris,['French'],13421.0,2.0,,21.0,"[['Do not waste one euro on this place', 'Got the job done...'], ['07/13/2013', '06/04/2013']]",/Restaurant_Review-g187147-d2719674-Reviews-O_Conway_s-Paris_Ile_de_France.html,d2719674
4323,Bar Picasso,Milan,"['Bar', 'Pub']",4326.0,3.5,,18.0,"[[], []]",/Restaurant_Review-g187849-d4325097-Reviews-Bar_Picasso-Milan_Lombardy.html,d4325097
13034,Cuisine de Bar By Poilane,London,"['Cafe', 'European', 'Vegetarian Friendly']",13044.0,3.5,$$ - $$$,61.0,"[['A place for breakfast and lunch', 'Amazing coffee and pastries/tartines'], ['04/08/2017', '03/25/2017']]",/Restaurant_Review-g186338-d5775067-Reviews-Cuisine_de_Bar_By_Poilane-London_England.html,d5775067
2096,Louise Barocco,Brussels,"['Italian', 'French', 'Belgian']",2097.0,4.0,$$ - $$$,25.0,"[['2017 New Year eve', 'New Year Eve'], ['01/04/2017', '01/03/2017']]",/Restaurant_Review-g188644-d887054-Reviews-Louise_Barocco-Brussels.html,d887054
829,Pommes Freunde,Munich,['Fast Food'],837.0,4.0,$,61.0,"[['tasty, fast and effective', 'Great wurst and fries!'], ['09/20/2017', '01/14/2017']]",/Restaurant_Review-g187309-d2096770-Reviews-Pommes_Freunde-Munich_Upper_Bavaria_Bavaria.html,d2096770
862,WAGOKORO Cocina japonesa,Barcelona,"['Japanese', 'Asian', 'Vegetarian Friendly']",863.0,4.5,$$$$,148.0,"[['Excelents quality, quite place, good servi...', 'One of my favorite places in Barcelona'], ['10/25/2017', '10/05/2017']]",/Restaurant_Review-g187497-d1831337-Reviews-WAGOKORO_Cocina_japonesa-Barcelona_Catalonia.html,d1831337
469,Pizza House 24,Krakow,,470.0,4.0,,33.0,"[['One of the best pizza in Krakow!', 'Lovely place.'], ['05/04/2017', '01/12/2017']]",/Restaurant_Review-g274772-d8373446-Reviews-Pizza_House_24-Krakow_Lesser_Poland_Province_Southern_Poland.html,d8373446
1003,Chinkali Cafe & Bistro,Warsaw,,1004.0,4.5,,4.0,"[['Good place for lunch', 'Good Georgian Food'], ['08/30/2017', '07/25/2017']]",/Restaurant_Review-g274856-d12219009-Reviews-Chinkali_Cafe_Bistro-Warsaw_Mazovia_Province_Central_Poland.html,d12219009
1919,La Padelletta,Milan,,1921.0,4.5,,21.0,"[[], []]",/Restaurant_Review-g187849-d12067752-Reviews-La_Padelletta-Milan_Lombardy.html,d12067752
3007,Marktgasthaus Holzhutte,Vienna,,3009.0,3.5,,2.0,"[[], []]",/Restaurant_Review-g190454-d10920918-Reviews-Marktgasthaus_Holzhutte-Vienna.html,d10920918
1627,Yum...Me,Athens,['Italian'],1629.0,3.5,,4.0,"[['No. Thanks.'], ['09/30/2017']]",/Restaurant_Review-g189400-d12927914-Reviews-Yum_Me-Athens_Attica.html,d12927914
137,Sushisen,Rome,"['Japanese', 'Seafood', 'Sushi', 'Asian', 'Fusion', 'Soups', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",138.0,4.5,$$ - $$$,1691.0,"[['Great sushi', 'Excellent food and service'], ['12/19/2017', '11/26/2017']]",/Restaurant_Review-g187791-d793647-Reviews-Sushisen-Rome_Lazio.html,d793647
1477,Pho&Nem,Prague,['Vietnamese'],1479.0,4.0,$,14.0,"[['Good food at good price', 'Amazing food.'], ['07/22/2017', '11/17/2017']]",/Restaurant_Review-g274707-d5501293-Reviews-Pho_Nem-Prague_Bohemia.html,d5501293
